query,method,description
Night,Ours,overcast1_t_1_w_10_wd_2_night_t_1_w_10_ours_1
Night,Xu20,overcast1_t_1_w_10_wd_2_night_t_1_w_10_xu20_1
Night,Baseline,overcast1_t_1_w_10_wd_2_night_t_1_w_10_baseline_1
Night,Stenborg20,overcast1_t_1_w_10_wd_2_night_t_1_w_10_stenborg20_1
Dusk,Ours,overcast1_t_1_w_10_wd_2_dusk_t_1_w_10_ours_1
Dusk,Xu20,overcast1_t_1_w_10_wd_2_dusk_t_1_w_10_xu20_1
Dusk,Baseline,overcast1_t_1_w_10_wd_2_dusk_t_1_w_10_baseline_1
Dusk,Stenborg20,overcast1_t_1_w_10_wd_2_dusk_t_1_w_10_stenborg20_1
Rain Detour,Ours,overcast1_t_1_w_10_wd_2_rain_detour_t_1_w_10_ours_1
Rain Detour,Xu20,overcast1_t_1_w_10_wd_2_rain_detour_t_1_w_10_xu20_1
Rain Detour,Baseline,overcast1_t_1_w_10_wd_2_rain_detour_t_1_w_10_baseline_1
Rain Detour,Stenborg20,overcast1_t_1_w_10_wd_2_rain_detour_t_1_w_10_stenborg20_1
Sun Detour,Ours,overcast1_t_1_w_10_wd_2_sun_clouds_detour1_t_1_w_10_ours_1
Sun Detour,Xu20,overcast1_t_1_w_10_wd_2_sun_clouds_detour1_t_1_w_10_xu20_1
Sun Detour,Baseline,overcast1_t_1_w_10_wd_2_sun_clouds_detour1_t_1_w_10_baseline_1
Sun Detour,Stenborg20,overcast1_t_1_w_10_wd_2_sun_clouds_detour1_t_1_w_10_stenborg20_1
