query,method,description
Night,Ours,overcast1_xy_1_t_10_wd_4_night_xy_2_t_15_ours_8
Night,No Verif,overcast1_xy_1_t_10_wd_4_night_xy_2_t_15_noverif_8
Night,No Off,overcast1_xy_1_t_10_wd_4_night_xy_2_t_15_nooff_4
Night,Xu20,overcast1_xy_1_t_10_wd_4_night_xy_2_t_15_xu20_2
Night,Baseline,overcast1_xy_1_t_10_wd_4_night_xy_2_t_15_baseline_1
Night,Stenborg20,overcast1_xy_1_t_10_wd_4_night_xy_2_t_15_stenborg20_2
Sun Detour 2,Ours,overcast1_xy_1_t_10_wd_4_sun_clouds_detour2_xy_2_t_15_ours_16
Sun Detour 2,No Verif,overcast1_xy_1_t_10_wd_4_sun_clouds_detour2_xy_2_t_15_noverif_14
Sun Detour 2,No Off,overcast1_xy_1_t_10_wd_4_sun_clouds_detour2_xy_2_t_15_nooff_2
Sun Detour 2,Xu20,overcast1_xy_1_t_10_wd_4_sun_clouds_detour2_xy_2_t_15_xu20_4
Sun Detour 2,Baseline,overcast1_xy_1_t_10_wd_4_sun_clouds_detour2_xy_2_t_15_baseline_2
Sun Detour 2,Stenborg20,overcast1_xy_1_t_10_wd_4_sun_clouds_detour2_xy_2_t_15_stenborg20_4
