query,method,description
Night,Ours,overcast1_xy_1_t_10_wd_4_night_xy_2_t_15_ours_1
Night,Xu20,overcast1_xy_1_t_10_wd_4_night_xy_2_t_15_xu20_1
Night,Baseline,overcast1_xy_1_t_10_wd_4_night_xy_2_t_15_baseline_1
Night,Stenborg20,overcast1_xy_1_t_10_wd_4_night_xy_2_t_15_stenborg20_1
Dusk,Ours,overcast1_xy_1_t_10_wd_4_dusk_xy_2_t_15_ours_1
Dusk,Xu20,overcast1_xy_1_t_10_wd_4_dusk_xy_2_t_15_xu20_1
Dusk,Baseline,overcast1_xy_1_t_10_wd_4_dusk_xy_2_t_15_baseline_1
Dusk,Stenborg20,overcast1_xy_1_t_10_wd_4_dusk_xy_2_t_15_stenborg20_1
Rain Detour,Ours,overcast1_xy_1_t_10_wd_4_rain_detour_xy_2_t_15_ours_1
Rain Detour,Xu20,overcast1_xy_1_t_10_wd_4_rain_detour_xy_2_t_15_xu20_1
Rain Detour,Baseline,overcast1_xy_1_t_10_wd_4_rain_detour_xy_2_t_15_baseline_1
Rain Detour,Stenborg20,overcast1_xy_1_t_10_wd_4_rain_detour_xy_2_t_15_stenborg20_1
Sun Detour,Ours,overcast1_xy_1_t_10_wd_4_sun_clouds_detour1_xy_2_t_15_ours_1
Sun Detour,Xu20,overcast1_xy_1_t_10_wd_4_sun_clouds_detour1_xy_2_t_15_xu20_1
Sun Detour,Baseline,overcast1_xy_1_t_10_wd_4_sun_clouds_detour1_xy_2_t_15_baseline_1
Sun Detour,Stenborg20,overcast1_xy_1_t_10_wd_4_sun_clouds_detour1_xy_2_t_15_stenborg20_1
Sun Detour 2,Ours,overcast1_xy_1_t_10_wd_4_sun_clouds_detour2_xy_2_t_15_ours_1
Sun Detour 2,Xu20,overcast1_xy_1_t_10_wd_4_sun_clouds_detour2_xy_2_t_15_xu20_1
Sun Detour 2,Baseline,overcast1_xy_1_t_10_wd_4_sun_clouds_detour2_xy_2_t_15_baseline_1
Sun Detour 2,Stenborg20,overcast1_xy_1_t_10_wd_4_sun_clouds_detour2_xy_2_t_15_stenborg20_1
